,cluster
0,3
1,0
2,5
3,6
4,5
5,5
6,2
7,6
8,0
9,3
10,3
11,3
12,3
13,2
14,0
15,5
16,5
17,6
18,6
19,5
20,0
21,2
22,5
23,3
24,5
25,6
26,5
27,3
28,0
29,0
30,2
31,3
32,5
33,2
34,6
35,6
36,5
37,5
38,5
39,0
40,1
41,5
42,5
43,3
44,5
45,5
46,5
47,5
48,3
49,2
50,5
51,6
52,5
53,3
54,6
55,5
56,5
57,0
58,5
59,6
60,0
61,6
62,6
63,5
64,6
65,5
66,5
67,5
68,6
69,6
70,5
71,3
72,6
73,0
74,0
75,0
76,5
77,5
78,6
79,5
80,5
81,6
82,6
83,5
84,6
85,6
86,5
87,0
88,0
89,6
90,5
91,5
92,2
93,5
94,3
95,6
96,5
97,5
98,5
99,5
100,0
101,5
102,5
103,5
104,2
105,0
106,5
107,0
108,6
109,5
110,2
111,5
112,5
113,6
114,6
115,6
116,5
117,5
118,0
119,5
120,5
121,5
122,3
123,6
124,0
125,6
126,3
127,5
128,5
129,0
130,5
131,5
132,6
133,3
134,2
135,6
136,6
137,5
138,5
139,6
140,0
141,6
142,3
143,6
144,6
145,3
146,6
147,5
148,6
149,0
150,6
151,2
152,5
153,6
154,5
155,0
156,5
157,4
158,5
159,5
160,5
161,5
162,0
163,3
164,5
165,5
166,5
167,0
168,6
169,5
170,5
171,5
172,0
173,3
174,6
175,0
176,3
177,5
178,3
179,0
180,5
181,0
182,5
183,6
184,6
185,5
186,0
187,5
188,4
189,6
190,6
191,3
192,5
193,6
194,3
195,0
196,5
197,5
198,3
199,5
200,6
201,0
202,0
203,6
204,6
205,6
206,6
207,1
208,6
209,6
210,5
211,6
212,5
213,6
214,6
215,5
216,6
217,5
218,6
219,2
220,0
221,3
222,3
223,6
224,5
225,6
226,5
227,6
228,3
229,3
230,3
231,6
232,6
233,0
234,5
235,3
236,0
237,5
238,6
239,3
240,5
241,6
242,6
243,2
244,0
245,2
246,6
247,3
248,0
249,0
250,6
251,5
252,6
253,5
254,0
255,0
256,6
257,3
258,6
259,5
260,6
261,3
262,6
263,6
264,3
265,5
266,5
267,5
268,5
269,2
270,3
271,6
272,5
273,6
274,3
275,0
276,5
277,0
278,0
279,3
280,5
281,3
282,3
283,5
284,5
285,4
286,2
287,5
288,2
289,6
290,5
291,5
292,0
293,3
294,5
295,4
296,5
297,6
298,5
299,5
300,2
301,5
302,6
303,5
304,0
305,6
306,3
307,5
308,6
309,3
310,5
311,5
312,6
313,1
314,4
315,5
316,4
317,5
318,2
319,2
320,6
321,5
322,3
323,6
324,3
325,3
326,5
327,3
328,2
329,5
330,6
331,5
332,0
333,5
334,3
335,5
336,6
337,6
338,6
339,5
340,2
341,6
342,3
343,6
344,6
345,5
346,6
347,5
348,6
349,5
350,3
351,0
352,5
353,0
354,6
355,0
356,6
357,3
358,5
359,0
360,4
361,0
362,3
363,5
364,5
365,6
366,5
367,3
368,5
369,4
370,2
371,0
372,5
373,5
374,0
375,2
376,3
377,0
378,2
379,5
380,2
381,5
382,0
383,3
384,0
385,5
386,0
387,0
388,6
389,5
390,5
391,3
392,6
393,0
394,6
395,3
396,0
397,6
398,5
399,0
400,0
401,6
402,3
403,6
404,5
405,5
406,3
407,2
408,5
409,5
410,6
411,6
412,0
413,5
414,5
415,3
416,3
417,5
418,5
419,6
420,3
421,0
422,5
423,3
424,2
425,4
426,3
427,5
428,3
429,0
430,3
431,3
432,3
433,5
434,5
435,5
436,5
437,0
438,3
439,3
440,3
441,5
442,6
443,6
444,3
445,0
446,0
447,0
448,6
449,6
450,0
451,6
452,6
453,6
454,6
455,5
456,6
457,6
458,1
459,1
460,3
461,6
462,6
463,6
464,2
465,5
466,0
467,3
468,5
469,5
470,5
471,5
472,3
473,5
474,6
475,6
476,5
477,5
478,6
479,3
480,6
481,5
482,0
483,6
484,6
485,6
486,0
487,6
488,0
489,6
490,6
491,5
492,0
493,3
494,6
495,5
496,6
497,6
498,6
499,0
500,5
501,2
502,3
503,6
504,5
505,6
506,3
507,5
508,5
509,6
510,5
511,6
512,6
513,2
514,5
515,6
516,2
517,6
518,5
519,3
520,6
521,5
522,5
523,2
524,5
525,0
526,5
527,5
528,4
529,0
530,6
531,0
532,0
533,5
534,6
535,2
536,0
537,0
538,6
539,4
540,2
541,6
542,5
543,5
544,5
545,6
546,3
547,6
548,6
549,3
550,5
551,5
552,6
553,5
554,5
555,0
556,0
557,0
558,4
559,5
560,0
561,6
562,0
563,0
564,6
565,3
566,5
567,6
568,2
569,5
570,6
571,5
572,0
573,6
574,6
575,0
576,5
577,2
578,5
579,5
580,5
581,5
582,0
583,5
584,0
585,5
586,0
587,0
588,2
589,0
590,5
591,6
592,3
593,3
594,6
595,5
596,2
597,0
598,0
599,0
600,5
601,2
602,6
603,5
604,0
605,6
606,2
607,3
608,5
609,0
610,4
611,3
612,2
613,5
614,6
615,6
616,0
617,4
618,5
619,5
620,5
621,5
622,6
623,6
624,2
625,5
626,0
627,0
628,0
629,0
630,5
631,6
632,3
633,0
634,3
635,6
636,3
637,6
638,0
639,5
640,5
641,6
642,0
643,5
644,5
645,5
646,3
647,0
648,5
649,3
650,0
651,3
652,6
653,0
654,5
655,3
656,2
657,6
658,3
659,1
660,2
661,3
662,6
663,5
664,5
665,5
666,5
667,5
668,0
669,0
670,1
671,5
672,5
673,6
674,3
675,6
676,1
677,5
678,4
679,5
680,5
681,5
682,3
683,3
684,5
685,3
686,0
687,4
688,0
689,6
690,2
691,5
692,5
693,6
694,3
695,5
696,3
697,6
698,6
699,5
700,3
701,6
702,6
703,5
704,2
705,6
706,5
707,5
708,6
709,6
710,6
711,6
712,5
713,0
714,6
715,6
716,6
717,6
718,6
719,5
720,5
721,5
722,3
723,5
724,3
725,6
726,5
727,6
728,5
729,5
730,0
731,3
732,5
733,5
734,6
735,6
736,3
737,2
738,0
739,0
740,2
741,0
742,2
743,5
744,3
745,0
746,6
747,3
748,6
749,6
750,0
751,6
752,5
753,3
754,0
755,6
756,5
757,5
758,0
759,3
760,5
761,3
762,6
763,2
764,6
765,3
766,6
767,3
768,6
769,3
770,5
771,2
772,6
773,0
774,5
775,5
776,5
777,4
778,6
779,5
780,2
781,6
782,0
783,5
784,5
785,6
786,3
787,5
788,0
789,0
790,0
791,0
792,0
793,3
794,6
795,0
796,3
797,5
798,3
799,5
800,3
801,6
802,0
803,2
804,5
805,6
806,5
807,6
808,4
809,6
810,3
811,6
812,0
813,6
814,5
815,6
816,6
817,5
818,4
819,3
820,6
821,0
822,0
823,3
824,5
825,5
826,3
827,3
828,5
829,2
830,5
831,6
832,6
833,6
834,6
835,5
836,5
837,5
838,6
839,5
840,6
841,5
842,5
843,5
844,5
845,5
846,5
847,0
848,1
849,6
850,0
851,0
852,5
853,3
854,0
855,2
856,0
857,0
858,2
859,3
860,6
861,5
862,5
863,5
864,3
865,2
866,2
867,5
868,1
869,2
870,0
871,5
872,5
873,5
874,0
875,5
876,3
877,5
878,6
879,6
880,3
881,6
882,6
883,2
884,6
885,5
886,5
887,6
888,5
889,5
890,2
891,3
892,6
893,5
894,2
895,3
896,6
897,2
898,5
899,6
900,3
901,0
902,6
903,2
904,0
905,5
906,6
907,6
908,6
909,5
910,3
911,6
912,6
913,6
914,0
915,3
916,0
917,5
918,0
919,6
920,3
921,3
922,2
923,3
924,6
925,6
926,5
927,6
928,6
929,6
930,3
931,5
932,3
933,6
934,6
935,6
936,3
937,3
938,5
939,5
940,0
941,6
942,3
943,5
944,3
945,3
946,6
947,0
948,3
949,6
950,6
951,6
952,5
953,5
954,6
955,0
956,2
957,6
958,0
959,3
960,6
961,6
962,0
963,0
964,5
965,2
966,5
967,0
968,6
969,5
970,5
971,3
972,6
973,2
974,3
975,0
976,6
977,6
978,6
979,3
980,0
981,6
982,6
983,5
984,5
985,3
986,6
987,5
988,6
989,5
990,6
991,2
992,3
993,0
994,6
995,6
996,6
997,5
998,5
999,4
1000,5
1001,0
1002,5
1003,5
1004,6
1005,0
1006,5
1007,0
1008,3
1009,6
1010,2
1011,3
1012,6
1013,2
1014,5
1015,2
1016,5
1017,5
1018,3
1019,6
1020,5
1021,2
1022,6
1023,6
1024,6
1025,3
1026,6
1027,0
1028,6
1029,6
1030,5
1031,6
1032,0
1033,6
1034,5
1035,6
1036,0
1037,3
1038,5
1039,6
1040,2
1041,6
1042,3
1043,6
1044,5
1045,0
1046,2
1047,5
1048,5
1049,5
1050,5
1051,0
1052,3
1053,6
1054,6
1055,5
1056,6
1057,6
1058,5
1059,6
1060,6
1061,5
1062,3
1063,6
1064,3
1065,5
1066,5
1067,6
1068,6
1069,6
1070,5
1071,4
1072,6
1073,6
1074,5
1075,6
1076,4
1077,0
1078,6
1079,6
1080,6
1081,5
1082,3
1083,5
1084,6
1085,5
1086,5
1087,6
1088,6
1089,2
1090,0
1091,6
1092,2
1093,5
1094,0
1095,3
1096,6
1097,3
1098,6
1099,0
1100,6
1101,6
1102,0
1103,3
1104,5
1105,6
1106,5
1107,3
1108,0
1109,5
1110,1
1111,5
1112,5
1113,0
1114,6
1115,0
1116,5
1117,5
1118,2
1119,2
1120,5
1121,6
1122,6
1123,6
1124,0
1125,0
1126,6
1127,5
1128,5
1129,3
1130,6
1131,5
1132,5
1133,5
1134,3
1135,2
1136,5
1137,6
1138,6
1139,1
1140,5
1141,5
1142,0
1143,3
1144,6
1145,6
1146,3
1147,6
1148,6
1149,5
1150,2
1151,5
1152,6
1153,4
1154,5
1155,5
1156,0
1157,5
1158,0
1159,6
1160,0
1161,6
1162,5
1163,6
1164,5
1165,6
1166,0
1167,6
1168,6
1169,5
1170,2
1171,0
1172,3
1173,5
1174,6
1175,6
1176,5
1177,6
1178,3
1179,0
1180,6
1181,5
1182,2
1183,0
1184,6
1185,5
1186,3
1187,6
1188,6
1189,5
1190,5
1191,5
1192,0
1193,5
1194,3
1195,5
1196,6
1197,5
1198,5
1199,2
1200,2
1201,5
1202,1
1203,6
1204,0
1205,6
1206,5
1207,0
1208,6
1209,5
1210,5
1211,0
1212,5
1213,3
1214,6
1215,5
1216,6
1217,6
1218,6
1219,6
1220,6
1221,5
1222,5
1223,5
1224,3
1225,3
1226,2
1227,6
1228,0
1229,4
1230,6
1231,2
1232,3
1233,6
1234,0
1235,6
1236,3
1237,3
1238,0
1239,5
1240,5
1241,5
1242,0
1243,3
1244,5
1245,6
1246,0
1247,5
1248,5
1249,0
1250,6
1251,0
1252,0
1253,6
1254,6
1255,3
1256,6
1257,5
1258,6
1259,3
1260,6
1261,0
1262,0
1263,5
1264,5
1265,0
1266,3
1267,3
1268,5
1269,6
1270,3
1271,5
1272,6
1273,5
1274,0
1275,3
1276,5
1277,5
1278,5
1279,5
1280,5
1281,5
1282,0
1283,0
1284,0
1285,6
1286,5
1287,5
1288,3
1289,3
1290,6
1291,5
1292,6
1293,3
1294,5
1295,3
1296,5
1297,5
1298,0
1299,3
1300,5
1301,0
1302,5
1303,5
1304,6
1305,6
1306,5
1307,5
1308,0
1309,3
1310,2
1311,5
1312,5
1313,5
1314,6
1315,3
1316,1
1317,5
1318,2
1319,5
1320,6
1321,5
1322,6
1323,3
1324,6
1325,3
1326,3
1327,2
1328,0
1329,5
1330,5
1331,5
1332,5
1333,6
1334,0
1335,5
1336,3
1337,5
1338,6
1339,4
1340,0
1341,6
1342,6
1343,3
1344,2
1345,6
1346,3
1347,5
1348,0
1349,2
1350,5
1351,3
1352,5
1353,6
1354,5
1355,0
1356,6
1357,6
1358,5
1359,5
1360,5
1361,6
1362,5
1363,5
1364,0
1365,6
1366,3
1367,6
1368,6
1369,5
1370,2
1371,3
1372,5
1373,6
1374,0
1375,5
1376,0
1377,3
1378,5
1379,4
1380,3
1381,3
1382,0
1383,5
1384,0
1385,3
1386,5
1387,3
1388,5
1389,0
1390,4
1391,6
1392,6
1393,0
1394,3
1395,6
1396,0
1397,0
1398,5
1399,3
1400,5
1401,5
1402,6
1403,5
1404,5
1405,5
1406,3
1407,6
1408,6
1409,5
1410,6
1411,0
1412,2
1413,0
1414,3
1415,5
1416,6
1417,3
1418,6
1419,6
1420,2
1421,6
1422,3
1423,3
1424,5
1425,5
1426,5
1427,3
1428,3
1429,5
1430,3
1431,0
1432,3
1433,6
1434,0
1435,5
1436,0
1437,3
1438,3
1439,5
1440,6
1441,5
1442,0
1443,5
1444,5
1445,5
1446,5
1447,6
1448,3
1449,5
1450,2
1451,5
1452,4
1453,0
1454,0
1455,6
1456,5
1457,0
1458,6
1459,0
1460,2
1461,5
1462,3
1463,6
1464,0
1465,2
1466,5
1467,3
1468,5
1469,0
1470,3
1471,6
1472,3
1473,4
1474,6
1475,6
1476,5
1477,6
1478,3
1479,5
1480,3
1481,2
1482,3
1483,3
1484,6
1485,5
1486,5
1487,0
1488,6
1489,3
1490,6
1491,3
1492,6
1493,3
1494,5
1495,0
1496,0
1497,5
1498,0
1499,0
1500,6
1501,4
1502,0
1503,6
1504,5
1505,3
1506,6
1507,3
1508,3
1509,6
1510,3
1511,3
1512,5
1513,0
1514,3
1515,6
1516,5
1517,3
1518,0
1519,6
1520,3
1521,0
1522,3
1523,5
1524,0
1525,6
1526,6
1527,6
1528,6
1529,5
1530,5
1531,6
1532,6
1533,6
1534,5
1535,6
1536,6
1537,6
1538,3
1539,0
1540,6
1541,3
1542,3
1543,3
1544,3
1545,3
1546,5
1547,5
1548,6
1549,3
1550,3
1551,5
1552,0
1553,6
1554,6
1555,6
1556,0
1557,4
1558,0
1559,0
1560,3
1561,5
1562,3
1563,6
1564,3
1565,3
1566,3
1567,3
1568,2
1569,6
1570,6
1571,0
1572,6
1573,5
1574,5
1575,5
1576,3
1577,6
1578,5
1579,3
1580,6
1581,5
1582,6
1583,6
1584,3
1585,3
1586,5
1587,5
1588,3
1589,6
1590,0
1591,5
1592,3
1593,3
1594,0
1595,3
1596,3
1597,0
1598,5
1599,6
1600,5
1601,5
1602,6
1603,3
1604,3
1605,6
1606,6
1607,6
1608,6
1609,5
1610,6
1611,6
1612,6
1613,6
1614,5
1615,6
1616,2
1617,0
1618,5
1619,6
1620,5
1621,1
1622,5
1623,5
1624,6
1625,6
1626,5
1627,6
1628,0
1629,0
1630,6
1631,5
1632,5
1633,3
1634,6
1635,5
1636,5
1637,3
1638,5
1639,3
1640,0
1641,5
1642,5
1643,5
1644,3
1645,5
1646,2
1647,6
1648,0
1649,0
1650,4
1651,6
1652,0
1653,5
1654,3
1655,3
1656,6
1657,3
1658,5
1659,5
1660,6
1661,5
1662,4
1663,6
1664,0
1665,5
1666,5
1667,5
1668,6
1669,5
1670,3
1671,6
1672,5
1673,5
1674,3
1675,5
1676,6
1677,5
1678,5
1679,3
1680,6
1681,2
1682,6
1683,5
1684,5
1685,6
1686,5
1687,3
1688,6
1689,0
1690,0
1691,5
1692,6
1693,0
1694,5
1695,6
1696,2
1697,5
1698,5
1699,5
1700,5
1701,2
1702,3
1703,6
1704,3
1705,3
1706,5
1707,0
1708,6
1709,3
1710,6
1711,6
1712,3
1713,6
1714,5
1715,5
1716,5
1717,2
1718,3
1719,6
1720,6
1721,6
1722,2
1723,5
1724,5
1725,0
1726,0
1727,0
1728,6
1729,5
1730,6
1731,2
1732,3
1733,6
1734,2
1735,5
1736,6
1737,0
1738,6
1739,5
1740,3
1741,5
1742,4
1743,5
1744,5
1745,3
1746,6
1747,5
1748,5
1749,5
1750,0
1751,5
1752,6
